ticket_description,category,priority
"Network outage reported during peak working hours, this is a non-critical issue (ticket 0)",Network,Low
"Cannot connect to WiFi network on the office laptop, this is a minor issue (ticket 1)",Network,Low
"Network outage reported affecting critical business operations, this is a low impact issue (ticket 2)",Network,Low
"Internet connection is very slow since this morning, this is a occasionally issue (ticket 3)",Network,Low
"LAN connection is not detected reported by several employees, this is a occasionally issue (ticket 4)",Network,Low
"Network outage reported affecting critical business operations, this is a low impact issue (ticket 5)",Network,Low
"LAN connection is not detected for multiple users in the same department, this is a critical issue issue (ticket 6)",Network,High
"Packet loss occurs frequently after the latest system update, this is a needs attention issue (ticket 7)",Network,Medium
"VPN connection keeps disconnecting after the latest system update, this is a non-critical issue (ticket 8)",Network,Low
"Internet connection is very slow during peak working hours, this is a non-critical issue (ticket 9)",Network,Low
"Packet loss occurs frequently intermittently throughout the day, this is a affects productivity issue (ticket 10)",Network,Medium
"Network outage reported after recent configuration changes, this is a needs attention issue (ticket 11)",Network,Medium
"Internet connection is very slow affecting critical business operations, this is a non-critical issue (ticket 12)",Network,Low
"LAN connection is not detected on the office laptop, this is a affects productivity issue (ticket 13)",Network,Medium
"Network outage reported on the office laptop, this is a affects productivity issue (ticket 14)",Network,Medium
"Packet loss occurs frequently on the office laptop, this is a blocking operations issue (ticket 15)",Network,High
"VPN connection keeps disconnecting after recent configuration changes, this is a needs attention issue (ticket 16)",Network,Medium
"Cannot connect to WiFi network intermittently throughout the day, this is a non-critical issue (ticket 17)",Network,Low
"Network outage reported during peak working hours, this is a affects productivity issue (ticket 18)",Network,Medium
"LAN connection is not detected on the office laptop, this is a low impact issue (ticket 19)",Network,Low
"VPN connection keeps disconnecting affecting critical business operations, this is a non-critical issue (ticket 20)",Network,Low
"Packet loss occurs frequently since this morning, this is a minor issue (ticket 21)",Network,Low
"Packet loss occurs frequently intermittently throughout the day, this is a minor issue (ticket 22)",Network,Low
"Cannot connect to WiFi network reported by several employees, this is a urgent issue (ticket 23)",Network,High
"Cannot connect to WiFi network after recent configuration changes, this is a low impact issue (ticket 24)",Network,Low
"Cannot connect to WiFi network for multiple users in the same department, this is a non-critical issue (ticket 25)",Network,Low
"Network outage reported reported by several employees, this is a low impact issue (ticket 26)",Network,Low
"VPN connection keeps disconnecting on the office laptop, this is a system down issue (ticket 27)",Network,High
"LAN connection is not detected after recent configuration changes, this is a minor issue (ticket 28)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a occasionally issue (ticket 29)",Network,Low
"Packet loss occurs frequently when connected to office network, this is a needs attention issue (ticket 30)",Network,Medium
"High network latency detected reported by several employees, this is a urgent issue (ticket 31)",Network,High
"LAN connection is not detected since this morning, this is a affects productivity issue (ticket 32)",Network,Medium
"Network outage reported affecting critical business operations, this is a moderate impact issue (ticket 33)",Network,Medium
"VPN connection keeps disconnecting during peak working hours, this is a occasionally issue (ticket 34)",Network,Low
"High network latency detected since this morning, this is a urgent issue (ticket 35)",Network,High
"LAN connection is not detected after the latest system update, this is a affects productivity issue (ticket 36)",Network,Medium
"Packet loss occurs frequently for multiple users in the same department, this is a system down issue (ticket 37)",Network,High
"Cannot connect to WiFi network intermittently throughout the day, this is a moderate impact issue (ticket 38)",Network,Medium
"Packet loss occurs frequently affecting critical business operations, this is a urgent issue (ticket 39)",Network,High
"High network latency detected since this morning, this is a non-critical issue (ticket 40)",Network,Low
"Packet loss occurs frequently for multiple users in the same department, this is a occasionally issue (ticket 41)",Network,Low
"LAN connection is not detected during peak working hours, this is a low impact issue (ticket 42)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a system down issue (ticket 43)",Network,High
"Cannot connect to WiFi network after recent configuration changes, this is a system down issue (ticket 44)",Network,High
